frame;intention_direction;intention_proximity
776;right;79
777;right;79
778;right;79
779;right;79
780;right;79
781;right;79
782;right;79
783;right;79
784;right;79
785;right;79
786;right;79
787;right;79
788;right;79
789;right;79
790;right;79
791;right;79
792;right;79
793;right;79
794;right;79
795;right;79
796;right;79
797;right;79
798;right;79
799;right;79
800;right;79
801;right;79
802;right;79
803;right;79
804;right;79
805;right;79
806;right;79
807;right;79
808;right;79
809;right;79
810;right;79
811;right;79
812;right;79
813;right;79
814;right;79
815;right;79
816;right;79
817;right;79
818;right;79
819;right;79
820;right;79
821;right;79
822;right;79
823;right;79
824;right;79
825;right;79
826;right;79
827;right;79
828;right;79
829;right;79
830;right;79
831;right;79
832;right;79
833;right;79
834;right;79
835;right;79
836;right;79
837;right;79
838;right;79
839;right;79
840;right;79
841;right;79
842;right;79
843;right;79
844;right;79
845;right;79
846;right;79
847;right;79
848;right;79
849;right;79
850;right;79
851;right;79
852;right;79
853;right;79
854;right;79
855;right;79
856;right;79
857;right;79
858;right;79
859;right;79
860;right;79
861;right;79
862;right;79
863;right;79
864;right;79
865;right;79
866;right;79
867;right;79
868;right;79
869;right;79
870;right;79
871;right;79
872;right;79
873;right;79
874;right;79
875;right;79
876;right;79
877;right;79
878;right;79
879;right;79
880;right;79
881;right;79
882;right;79
883;right;79
884;right;79
885;right;79
886;right;79
887;right;79
888;right;79
889;right;79
890;right;79
891;right;79
892;right;79
893;right;79
894;right;79
895;right;79
896;right;79
897;right;79
898;right;79
899;right;79
900;right;79
901;right;79
902;right;79
903;right;79
904;right;79
905;right;79
906;right;79
907;right;79
908;right;79
909;right;79
910;right;78
911;right;78
912;right;78
913;right;78
914;right;78
915;right;78
916;right;78
917;right;77
918;right;77
919;right;76
920;right;76
921;right;75
922;right;75
923;right;74
924;right;74
925;right;73
926;right;72
927;right;72
928;right;71
929;right;70
930;right;70
931;right;69
932;right;68
933;right;68
934;right;67
935;right;67
936;right;66
937;right;66
938;right;65
939;right;65
940;right;64
941;right;63
942;right;63
943;right;62
944;right;61
945;right;61
946;right;60
947;right;60
948;right;59
949;right;58
950;right;58
951;right;57
952;right;57
953;right;56
954;right;56
955;right;55
956;right;54
957;right;54
958;right;53
959;right;53
960;right;52
961;right;51
962;right;51
963;right;50
964;right;50
965;right;49
966;right;48
967;right;48
968;right;47
969;right;47
970;right;46
971;right;46
972;right;45
973;right;44
974;right;44
975;right;43
976;right;42
977;right;42
978;right;41
979;right;41
980;right;40
981;right;40
982;right;39
983;right;38
984;right;38
985;right;37
986;right;37
987;right;36
988;right;36
989;right;35
990;right;34
991;right;34
992;right;33
993;right;33
994;right;32
995;right;32
996;right;31
997;right;30
998;right;30
999;right;29
1000;right;29
1001;right;28
1002;right;28
1003;right;27
1004;right;26
1005;right;26
1006;right;25
1007;right;25
1008;right;24
1009;right;23
1010;right;23
1011;right;22
1012;right;21
1013;right;21
1014;right;20
1015;right;20
1016;right;19
1017;right;19
1018;right;18
1019;right;18
1020;right;17
1021;right;16
1022;right;16
1023;right;15
1024;right;14
1025;right;14
1026;right;13
1027;right;13
1028;right;12
1029;right;12
1030;right;12
1031;right;12
1032;right;12
1033;right;12
1034;right;12
1035;right;12
1036;right;12
1037;right;12
1038;right;12
1039;right;12
1040;right;12
1041;right;12
1042;right;12
1043;right;12
1044;right;12
1045;right;12
1046;right;12
1047;right;12
1048;right;12
1049;right;12
1050;right;12
1051;right;12
1052;right;12
1053;right;12
1054;right;12
1055;right;12
1056;right;12
1057;right;12
1058;right;12
1059;right;12
1060;right;12
1061;right;12
1062;right;12
1063;right;12
1064;right;12
1065;right;12
1066;right;12
1067;right;12
1068;right;12
1069;right;12
1070;right;12
1071;right;12
1072;right;12
1073;right;12
1074;right;12
1075;right;12
1076;right;12
1077;right;12
1078;right;12
1079;right;12
1080;right;12
1081;right;12
1082;right;12
1083;right;12
1084;right;12
1085;right;12
1086;right;12
1087;right;12
1088;right;12
1089;right;12
1090;right;12
1091;right;12
1092;right;12
1093;right;12
1094;right;12
1095;right;12
1096;right;12
1097;right;12
1098;right;12
1099;right;12
1100;right;12
1101;right;12
1102;right;12
1103;right;12
1104;right;12
1105;right;12
1106;right;12
1107;right;12
1108;right;12
1109;right;12
1110;right;12
1111;right;12
1112;right;12
